//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Element,MaxEnergyPower,Behit1AnimaInterval,Behit2AnimaInterval,DeathEffectTl,AirDeathEffectTl,EnterBattleTl,ExitBattleTl,BattleItemOffset,BattleItemScale,NormalDmgItemOffset,ThornDmgItemOffset,RecoverDmgItemOffset,ShowInUIHero,ShowIndex,UltEnergyIcon
100000013,0,160,,,tl_0501_110250001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;420;-30,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,0,9999999,ui_zhandou_dazhaotouxiang_qianshi2
100000014,0,120,,,tl_0501_110260001_01,,tl_0507_110010001_01,tl_0508_110010001_01,0;480;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,30,ui_zhandou_dazhaotouxiang_lingyu2
100000015,0,120,,,tl_0501_110270001_01,,tl_0507_110030001_01,tl_0508_110030001_03,0;420;-30,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,0,9999999,ui_zhandou_dazhaotouxiang_nailu2
100000016,0,120,,,tl_0501_110280001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;430;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,28,ui_zhandou_dazhaotouxiang_nailu2
100000017,0,120,,,tl_0501_110290001_01,,tl_0507_110040001_01,tl_0508_110040001_01,0;480;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,27,ui_zhandou_dazhaotouxiang_xingxing2
100000018,0,240,,,tl_0501_110300001_01,,tl_0507_110020001_01,tl_0508_110020001_01,0;430;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,26,ui_zhandou_dazhaotouxiang_yao2
100000019,0,120,,,tl_0501_110310001_01,,tl_0507_110010001_01,tl_0508_110010001_01,0;480;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,0,9999999,ui_zhandou_dazhaotouxiang_lingyu2
100000020,0,120,,,tl_0501_110330001_01,,tl_0507_110020001_01,tl_0508_110020001_01,0;430;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,12,ui_zhandou_dazhaotouxiang_yao2
100000021,0,120,,,tl_0501_110340001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;420;-30,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,11,ui_zhandou_dazhaotouxiang_qianshi2
100000022,0,120,,,tl_0501_110360001_01,,tl_0507_110010001_01,tl_0508_110010001_01,0;420;-30,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,10,ui_zhandou_dazhaotouxiang_nailu2
100000023,0,120,,,tl_0501_110370001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;430;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,9,ui_zhandou_dazhaotouxiang_nailu2
100000024,0,120,,,tl_0501_110320001_01,,tl_0507_110010001_01,tl_0508_110010001_01,0;480;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,38,ui_zhandou_dazhaotouxiang_lingyu2
100000025,0,120,,,tl_0501_110350001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;420;-30,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,39,ui_zhandou_dazhaotouxiang_qianshi2
100000026,0,120,,,tl_0501_110390001_01,,tl_0507_110020001_01,tl_0508_110020001_01,0;480;0,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,6,ui_zhandou_dazhaotouxiang_yao2
100000027,0,160,,,tl_0501_110421001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;420;-30,,160;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,5,ui_zhandou_dazhaotouxiang_qianshi2
100000028,0,160,,,tl_0501_110411001_01,,tl_0507_110020001_01,tl_0508_110020001_01,0;430;0,,140;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,4,ui_zhandou_dazhaotouxiang_yao2
100000029,0,120,,,tl_0501_110431001_01,,tl_0507_110040001_01,tl_0508_110040001_01,0;480;0,,160;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,3,ui_zhandou_dazhaotouxiang_xingxing2
100000030,0,120,,,tl_0501_110401001_01,,tl_0507_110010001_01,tl_0508_110010001_01,0;480;0,,160;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,2,ui_zhandou_dazhaotouxiang_lingyu2
100000031,0,120,,,tl_0501_110441001_01,,tl_0507_110060001_01,tl_0508_110060001_01,0;430;0,,160;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,1,ui_zhandou_dazhaotouxiang_nailu2
100000032,0,160,,,tl_0501_110450001_01,,tl_0507_110020001_01,tl_0508_110020001_01,0;430;0,,140;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,31,ui_zhandou_dazhaotouxiang_yao2
100000033,0,120,,,tl_0501_110460001_01,,tl_0507_110010001_01,tl_0508_110010001_01,0;480;0,,160;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,32,ui_zhandou_dazhaotouxiang_lingyu2
100000034,0,160,,,tl_0501_110470001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;420;-30,,160;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,33,ui_zhandou_dazhaotouxiang_qianshi2
100000035,0,120,,,tl_0501_110480001_01,,tl_0507_110030001_01,tl_0508_110030001_01,0;430;0,,160;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,34,ui_zhandou_dazhaotouxiang_nailu2
100000036,0,120,,,tl_0501_110490001_01,,tl_0507_110030001_01,tl_0508_110030001_03,0;420;-30,,150;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,35,ui_zhandou_dazhaotouxiang_nailu2
100000037,0,160,,,tl_0501_110500001_01,,tl_0507_110020001_01,tl_0508_110020001_01,0;430;0,,140;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,36,ui_zhandou_dazhaotouxiang_yao2
100000038,0,120,,,tl_0501_110510001_01,,tl_0507_110010001_01,tl_0508_110010001_01,0;480;0,,160;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,37,ui_zhandou_dazhaotouxiang_lingyu2
100000039,0,120,,,tl_0501_110520001_01,,tl_0507_110040001_01,tl_0508_110040001_01,0;480;0,,160;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,40,ui_zhandou_dazhaotouxiang_xingxing2
100000040,0,120,,,tl_0501_110530001_01,,tl_0507_110010001_01,tl_0508_110010001_01,0;480;0,,160;-180;0;180,-10|180;100|120;-80|105;180|170;-150|140,10|150;-100|130;160|110;-180|170,1,41,ui_zhandou_dazhaotouxiang_lingyu2
