//this config file was auto-generated by Excel2lua tool do not modify it!
ID,RoleName,AssetID,AI,DungeonAnimator,OtherAnimator,OtherBattleFormName,OtherBattleFormRes,OtherBattleFormAniController,Health,ATK,RDM,CRT,CRTD,Element,PassiveSkills,IsBoss,Probability,EnergyBallIds,EnergyBallWeight,MonsterType
101011,士兵1-envy,2710011,1010104,2700011_battle_controller.controller,,,,,240000,10000,4000,0.05,0,2,101007,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101012,士兵2-envy,2710011,1010105,2700011_battle_controller.controller,,,,,240000,10000,4000,0.05,0,2,101007,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101013,嘲讽怪 - lie,2710031,1010106,2700031_battle_controller.controller,,,,,240000,10000,4000,0.05,0,1,101006,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101014,锁血-complain,2710041,1010107,2700041_battle_controller.controller,,,,,240000,10000,4000,0.05,0,2,101005,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
101015,狂暴-envy,2710011,1010108,2700011_battle_controller.controller,,,,,240000,10000,4000,0.05,0,2,101004,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111011,区域1（受击提升自身伤害）-angry,2710021,1010000,2700021_battle_controller.controller,,,,,84000,7000,4000,0.05,0,1,101001;101003,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111012,区域4（小怪A）-envy,2710011,101211,2700011_battle_controller.controller,,,,,56000,7000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111013,区域4（小怪A）-envy,2710011,101221,2700011_battle_controller.controller,,,,,56000,7000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111021,区域1（受击提升自身伤害）-angry,2710021,101612,2700021_battle_controller.controller,,,,,84000,7000,4000,0.05,0,1,101001;101003,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111022,区域1（受击提升自身伤害）-angry,2710021,101622,2700021_battle_controller.controller,,,,,84000,7000,4000,0.05,0,1,101001;101003,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111031,区域1（锁行动上限）-lie,2710031,1010030,2700031_battle_controller.controller,,,,,192000,8000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111032,区域1（受击提升自身伤害）-angry,2710021,101612,2700021_battle_controller.controller,,,,,96000,8000,4000,0.05,0,1,101001;101003,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111033,区域1（受击提升自身伤害）-angry,2710021,101622,2700021_battle_controller.controller,,,,,96000,8000,4000,0.05,0,1,101001;101003,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111041,区域1（受击提升自身伤害）-angry,2730011,1010000,2700021_battle_controller.controller,,,,,96000,8000,4000,0.05,0,1,101001;101003;101005,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111042,区域2（单体DOT）-complain,2710041,101311,2700041_battle_controller.controller,,,,,84000,8000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111043,区域2（单体DOT）-complain,2710041,101321,2700041_battle_controller.controller,,,,,84000,8000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111044,区域1（受击提升自身伤害）-angry,2730011,101602,2700021_battle_controller.controller,,,,,96000,8000,4000,0.05,0,1,101000;101001;101003;101005,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111045,区域1（受击提升自身伤害）-angry,2730011,101612,2700021_battle_controller.controller,,,,,96000,8000,4000,0.05,0,1,101000;101001;101003;101005,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111046,区域1（受击提升自身伤害）-angry,2730011,101622,2700021_battle_controller.controller,,,,,96000,8000,4000,0.05,0,1,101000;101001;101003;101005,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111051,区域1（锁行动上限）-lie,2710031,1010030,2700031_battle_controller.controller,,,,,192000,8000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111052,区域1（受击提升自身伤害）-angry,2730011,1010000,2700021_battle_controller.controller,,,,,108000,9000,4000,0.05,0,1,101000;101001;101003;101005,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111053,区域1（锁行动上限）-lie,2710031,1010030,2700031_battle_controller.controller,,,,,192000,8000,4000,0.05,0,1,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111061,区域1（受击提升自身伤害）-angry,2730011,101602,2700021_battle_controller.controller,,,,,108000,9000,4000,0.05,0,1,101000;101001;101003;101005,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111062,区域1（受击提升自身伤害）-angry,2730011,101612,2700021_battle_controller.controller,,,,,108000,9000,4000,0.05,0,1,101000;101001;101003;101005,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111063,区域1（受击提升自身伤害）-angry,2730011,101622,2700021_battle_controller.controller,,,,,108000,9000,4000,0.05,0,1,101000;101001;101003;101005,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
111064,受击切技能,2810061,1010020,2800061_battle_controller.controller,,,,,1000000,10000,4000,0.05,0,1,101000;101001,1,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112011,区域2（群体DOT）-lie,2710032,1010040,2700031_battle_controller.controller,,,,,168000,7000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112012,区域2（小怪A）-envy,2710011,1010080,2700011_battle_controller.controller,,,,,56000,7000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112013,区域2（小怪A）-envy,2710011,1010080,2700011_battle_controller.controller,,,,,56000,7000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112021,指挥官 - lie,2730021,1010103,2700031_battle_controller.controller,,,,,180000,10000,4000,0.05,0,2,101006,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112022,士兵1-envy,2730031,1010104,2700011_battle_controller.controller,,,,,360000,10000,4000,0.05,0,2,101007,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112023,士兵2-envy,2730031,1010105,2700011_battle_controller.controller,,,,,360000,10000,4000,0.05,0,2,101007,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112031,区域2（群体DOT）-lie,2710032,1010040,2700031_battle_controller.controller,,,,,192000,8000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112032,区域2（单体DOT）-complain,2710041,1010050,2700041_battle_controller.controller,,,,,96000,8000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112033,区域2（单体DOT）-complain,2710041,1010050,2700041_battle_controller.controller,,,,,96000,8000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112041,指挥官 - lie,2730021,1010103,2700031_battle_controller.controller,,,,,180000,10000,4000,0.05,0,2,101006,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112042,士兵1-envy,2730031,1010104,2700011_battle_controller.controller,,,,,360000,10000,4000,0.05,0,2,101007,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112043,士兵2-envy,2730031,1010105,2700011_battle_controller.controller,,,,,360000,10000,4000,0.05,0,2,101007,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112051,区域2（洞察）-lie,2730041,1010109,2700031_battle_controller.controller,,,,,108000,9000,4000,0.05,0,2,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
112061,区域3（次数护盾）-hate,2810051,2004,2800051_battle_controller.controller,,FormView[2],2800052,2800052_battle_controller.controller,1000000,10000,4000,0.05,0,2,28060402,1,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113011,区域3（单体DOT）-complain,2710041,101311,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113012,区域3（单体DOT）-complain,2710041,101321,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113021,区域3（单体DOT）-complain,2720041,101311,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,28060403,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113022,区域3（单体DOT）-complain,2720041,101321,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,28060403,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113031,区域3（单体DOT）-complain,2730051,101311,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,101008,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113032,嘲讽怪 - lie,2710031,1010106,2700031_battle_controller.controller,,,,,240000,10000,4000,0.05,0,3,101006,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113033,区域3（单体DOT）-complain,2730051,101321,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,101009,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113041,区域3（单体DOT）-complain,2730051,101311,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,28060403;101008,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113042,区域3（单体DOT）-complain,2730051,101321,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,28060403;101009,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113043,嘲讽怪 - lie,2710031,1010106,2700031_battle_controller.controller,,,,,240000,10000,4000,0.05,0,3,101006,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113051,区域3（单体DOT）-complain,2710041,101301,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113052,区域3（单体DOT）-complain,2710041,101311,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113053,区域3（单体DOT）-complain,2710041,101321,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113054,频繁AOE,2810062,2003,2800061_battle_controller.controller,,,,,500000,10000,4000,0.05,0,3,,1,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113061,区域3（单体DOT）-complain,2720041,101311,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,28060403,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113062,区域1（锁行动上限）-lie,2710031,1010030,2700031_battle_controller.controller,,,,,240000,10000,4000,0.05,0,3,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113063,区域3（单体DOT）-complain,2720041,101321,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,3,28060403,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
113064,频繁AOE,2820062,2003,2800061_battle_controller.controller,,,,,1000000,10000,4000,0.05,0,3,28060403,1,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114011,区域4（小怪A）-envy,2710011,101201,2700011_battle_controller.controller,,,,,36000,7000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114012,区域4（小怪A）-envy,2710011,101211,2700011_battle_controller.controller,,,,,56000,7000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114013,区域4（小怪A）-envy,2710011,101221,2700011_battle_controller.controller,,,,,36000,7000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114014,区域4（小怪A）-envy,2710011,101201,2700011_battle_controller.controller,,,,,36000,7000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114015,区域4（小怪A）-envy,2710011,101211,2700011_battle_controller.controller,,,,,56000,7000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114016,区域4（小怪A）-envy,2710011,101221,2700011_battle_controller.controller,,,,,36000,7000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114021,区域3（单体DOT）-complain,2710041,1010050,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114022,区域4（小怪A）-envy,2710011,1010080,2700011_battle_controller.controller,,,,,36000,7000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114023,区域4（小怪A）-envy,2710011,1010080,2700011_battle_controller.controller,,,,,36000,7000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114024,区域3（单体DOT）-complain,2710041,101301,2700041_battle_controller.controller,,,,,54000,7000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114025,区域3（单体DOT）-complain,2710041,101311,2700041_battle_controller.controller,,,,,84000,7000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114026,区域3（单体DOT）-complain,2710041,101321,2700041_battle_controller.controller,,,,,54000,7000,4000,0.05,0,4,,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114031,区域3（单体DOT）-complain,2730051,101301,2700041_battle_controller.controller,,,,,56000,8000,4000,0.05,0,4,101004,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114032,区域3（单体DOT）-complain,2730051,101311,2700041_battle_controller.controller,,,,,96000,8000,4000,0.05,0,4,101004,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114033,区域3（单体DOT）-complain,2730051,101321,2700041_battle_controller.controller,,,,,56000,8000,4000,0.05,0,4,101004,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114034,区域3（单体DOT）-complain,2730051,1010050,2700041_battle_controller.controller,,,,,56000,8000,4000,0.05,0,4,101004,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114035,区域1（受击提升自身伤害）-angry,2710021,101612,2700021_battle_controller.controller,,,,,96000,8000,4000,0.05,0,4,101000;101001,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114036,区域1（受击提升自身伤害）-angry,2710021,101622,2700021_battle_controller.controller,,,,,56000,8000,4000,0.05,0,4,101000;101001,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114041,区域1（受击提升自身伤害）-angry,2710021,101602,2700021_battle_controller.controller,,,,,56000,8000,4000,0.05,0,4,101000;101001,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114042,区域1（受击提升自身伤害）-angry,2710021,101612,2700021_battle_controller.controller,,,,,96000,8000,4000,0.05,0,4,101000;101001,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
114043,区域1（受击提升自身伤害）-angry,2710021,101622,2700021_battle_controller.controller,,,,,56000,8000,4000,0.05,0,4,101000;101001,,100,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,100|100|100|100|100|20|20|20|20|20|5|5|5|5|5,
