//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Des,EventType,CorrelationIDs,EventTriggerType,EventTriggerConditionGroupID,EventActiveConditionGroupID,EventCompleteConditionGroupID,MapElementID,EventReward,ForcedShow
101560,存档点100640,7,0,1,,,,,,0
101570,存档点100650,7,0,1,,,,,,0
101580,存档点100660,7,0,1,,,,,,0
101590,存档点100670,7,0,1,,,,,,0
101600,存档点100680,7,0,1,,,,,,0
101610,存档点100690,7,0,1,,,,,,0
101620,存档点100700,7,0,1,,,,,,0
101630,存档点100710,7,0,1,,,,,,0
101640,存档点100720,7,0,1,,,,,,0
101650,存档点100730,7,0,1,,,,,,0
101660,存档点100770,7,0,1,,,,,,0
101670,存档点100790,7,0,1,,,,,,0
101680,存档点100800,7,0,1,,,,,,0
101690,存档点100810,7,0,1,,,,,,0
101700,存档点100850,7,0,1,,,,,,0
101710,存档点100860,7,0,1,,,,,,0
101720,存档点100870,7,0,1,,,,,,0
101730,存档点100880,7,0,1,,,,,,0
101740,存档点100890,7,0,1,,,,,,0
101750,存档点100900,7,0,1,,,,,,0
101760,存档点100910,7,0,1,,,,,,0
101770,存档点100920,7,0,1,,,,,,0
101780,存档点100930,7,0,1,,,,,,0
101790,存档点100940,7,0,1,,,,,,0
101800,存档点100950,7,0,1,,,,,,0
101810,存档点100960,7,0,1,,,,,,0
101820,存档点100970,7,0,1,,,,,,0
101830,存档点100980,7,0,1,,,,,,0
101840,存档点100990,7,0,1,,,,,,0
101850,存档点101000,7,0,1,,,,,,0
101860,存档点101010,7,0,1,,,,,,0
101870,存档点101020,7,0,1,,,,,,0
101880,存档点101030,7,0,1,,,,,,0
101890,复活点（立交桥BOSS前）,11,0,2,,,,,,0
101900,复活点（吊塔之上）,11,0,2,,,,,,0
101910,复活点（商场前）,11,0,2,,,,,,0
101920,存档点101890,7,0,1,,,,,,0
101930,存档点101900,7,0,1,,,,,,0
101940,存档点101910,7,0,1,,,,,,0
101950,存档点100510（水洼存档）,7,0,1,,,,,,0
101960,副本胜利结算,5,0,1,,,,,,0
101970,镜头测试1,13,10001,2,,,,,,0
101980,镜头测试2,13,10002,2,,,,,,0
210000000,【体验关】环形桥宝箱一,4,210000000,3,,,,8001,100010,0
210000001,【体验关】环形桥宝箱二,4,210000001,3,,,,8001,100010,0
210000004,吊桥,17,100031,2,,,,,,0
