//this config file was auto-generated by Excel2lua tool do not modify it!
ID,CharType,Char,Embattlepos,EmbattleActAni,EmbattleGray
110230001,0,100000023,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110231001,1,100000023,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110240001,0,100000024,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110241001,1,100000024,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110250001,0,100000025,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110251001,1,100000025,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110260001,0,100000026,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110261001,1,100000026,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110270001,0,100000027,0.33;-0.31;5.5,body_show_idle,0.3;0.4;0.5
110271001,1,100000027,0.33;-0.32;5.5,body_show_idle,0.3;0.4;0.5
110280001,0,100000028,0.33;-0.28;5.5,body_show_idle,0.3;0.4;0.5
110281001,1,100000028,0.33;-0.28;5.5,body_show_idle,0.3;0.4;0.5
110290001,0,100000029,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110291001,1,100000029,0.837;-0.168;1.714,body_show_idle,0.3;0.4;0.5
110300001,0,100000030,0.33;-0.36;5.5,body_show_idle,0.3;0.4;0.5
110301001,1,100000030,0.33;-0.36;5.5,body_show_idle,0.3;0.4;0.5
110310001,0,100000031,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110311001,1,100000031,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110320001,0,100000032,0.33;-0.28;5.5,body_show_idle,0.3;0.4;0.5
110321001,1,100000032,0.33;-0.28;5.5,body_show_idle,0.3;0.4;0.5
110330001,0,100000033,0.33;-0.36;5.5,body_show_idle,0.3;0.4;0.5
110331001,1,100000033,0.33;-0.36;5.5,body_show_idle,0.3;0.4;0.5
110340001,0,100000034,0.33;-0.31;5.5,body_show_idle,0.3;0.4;0.5
110341001,1,100000034,0.33;-0.32;5.5,body_show_idle,0.3;0.4;0.5
110350001,0,100000035,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110351001,1,100000035,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110360001,0,100000036,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110361001,1,100000036,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110370001,0,100000037,0.33;-0.28;5.5,body_show_idle,0.3;0.4;0.5
110371001,1,100000037,0.33;-0.28;5.5,body_show_idle,0.3;0.4;0.5
110380001,0,100000038,0.33;-0.36;5.5,body_show_idle,0.3;0.4;0.5
110381001,1,100000038,0.33;-0.36;5.5,body_show_idle,0.3;0.4;0.5
110390001,0,100000039,0.33;-0.3;5.5,body_show_idle,0.3;0.4;0.5
110391001,1,100000039,0.837;-0.168;1.714,body_show_idle,0.3;0.4;0.5
110400001,0,100000040,0.33;-0.36;5.5,body_show_idle,0.3;0.4;0.5
110401001,1,100000040,0.33;-0.36;5.5,body_show_idle,0.3;0.4;0.5
