//this config file was auto-generated by Excel2lua tool do not modify it!
ID,PrefabName,EffectName,InteractObjectType,EnterBehavior,CompleteBehavior,CanPerception,TargetState,IsInScene
2030,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102,1,,0
2031,Interact_f_Hemopacket_01_m,fx_p_Interaction_Hemopacket_01_m,1,1127,1102;1124,1,,0
2032,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102,1,,0
2033,Interact_f_Hemopacket_01_m,fx_p_Interaction_Hemopacket_01_m,1,1127,1102;1124,1,,0
2034,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102,1,,0
2035,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102,1,,0
2036,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102,1,,0
2037,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,1101,1102,1,,0
2038,Interact_f_Hemopacket_01_m,fx_p_Interaction_Hemopacket_01_m,1,1127,1102;1124,1,,0
2039,Interact_f_Hemopacket_01_m,fx_p_Interaction_Hemopacket_01_m,1,1127,1102;1124,1,,0
2040,Interact_f_Hemopacket_01_m,fx_p_Interaction_Hemopacket_01_m,1,1127,1102;1124,1,,0
2041,Interact_f_Hemopacket_01_m,fx_p_Interaction_Hemopacket_01_m,10,1127,1102;1124,0,,0
2042,,,4,1126,1102,0,,0
2043,Interact_p_dianxiang_05_m03,fx_p_common_thunderbox_complete_6001,4,1102,1112,1,,1
2044,Bake/StaticObject/build/build_p_tower_02_m (1)/interact_p_electricw_01_m/interact_f_electricw_01_01_LOD0/fx,fx_p_cable_thunder_8000,4,,1102,0,,1
2045,interact_p_elevator_01_m_dtm,fx_p_door_thunder_8000,4,,1102,0,,1
102010000,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,10001,10002,1,,0
102010001,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,10003,10004,1,,0
102010002,Interact_f_dumboard_01,fx_p_Interaction_dumboard_01,4,10005,10006,0,,0
102010004,fx_f_h_daloutanta_2005,,1,,10008,0,,0
102010005,build_p_daotadalou_dt,,4,,10014,0,,0
102010006,build_p_daotadalou_rm_dt,,4,,10016,0,,0
102010013,build_p_daotadalou_tiaotai_dt,,4,,10017,0,,0
102010014,build_p_daotadalou_ls_dt,,4,,10018,0,,0
102010019,interact_p_baoxiang_02_m,fx_p_Interaction_baoxiang_02_m,3,10024,10025,1,,0
102010020,build_p_overpass_01_03_m_dq,,4,,10027,0,,0
102010022,,,1,1102,10028,0,,0
102010023,fx_f_h_daqiao_2002,,1,,10029,0,,0
