//this config file was auto-generated by Excel2lua tool do not modify it!
ID,Name,BuffDec,Icon,AnimIcon,BuffType,CanBeDispelled,BuffLogic,CasterAttrType,OwnerAttrType,BeginEffect,LoopEffect,EndEffect,DurationTime,SubBuff,ActiveType,ActiveExclution,DestroyConditionTiming,DestroyCondition,DestroyDieState,DurationRound,MaxPile,LayerUpDurationTimeType,AutoDestroy,BattleExitRetain,BuffGroup,BuffGroupPriority,GroupReplaceType,PersonalPopTipsOnBegin,PersonalPopTipsOnEnd,TeamPopTipsOnBegin,TeamPopTipsOnEnd
10021,降低防御,降低目标防御,,,1,1,4005,,,,,,100000,,,0,,,,-1,1,1,,0,,,,,,,
10022,修改行动值,修改目标行动值上限,,,1,1,2003,,,,,,50000,,,0,,,,-1,1,1,,0,,,,,,,
10023,打断敌方蓄力,打断敌方蓄力,,,2,1,19001,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
10050,吸血buff节点,吸血buff节点,,,1,1,10002,,,,,,0,,,0,,,,1,1,1,,0,,,,,,,
20001,红色起手攻击力加成1,红色起手攻击力加成1,,,1,1,12001,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20002,红色起手攻击力加成2,红色起手攻击力加成2,,,1,1,12002,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20003,黄色起手获取能量加成1,黄色起手获取能量加成1,,,1,1,13001,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20004,黄色起手获取能量加成2,黄色起手获取能量加成2,,,1,1,13002,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20005,蓝色起手返还AP,蓝色起手返还AP,,,1,1,14001,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20006,蓝色起手返还AP并随机减技能消耗,蓝色起手返还AP并随机减技能消耗,,,1,1,14002|15001,,,,,,-1,,,0,,,,-1,99,1,,0,,,,,,,
20007,绿色起手减cd1,绿色起手减cd1,,,1,1,16001,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20008,绿色起手减cd并随即减少一个技能的冷却,绿色起手减cd并随即减少一个技能的冷却,,,1,1,16002|17001,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20009,刷新被动cd,刷新被动cd,,,1,1,18001,,,,,,3000,,,0,,,,-1,1,1,,0,,,,,,,
20010,连招加成攻击力加成,普通技能攻击力加成,,,1,1,12003,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20011,连招加成攻击力加成,大招技能攻击力加成,,,1,1,12004,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20012,连招加成返回ap,连招加成返回行动值，,,,1,1,14003,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20013,连招加成返回cd,连招加成返回cd,,,1,1,16003,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20014,连招加成返回能量,大招返回能量,,,1,1,20001,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20015,提高充能,提高充能,,,1,1,13003,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20016,灼烧区域响应,灼烧区域响应,,,1,1,21001,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
20017,测试护盾,测试护盾,,,1,1,21002,,,,1021,1022,30000,,,0,,,,-1,1,1,,0,,,,,,,
20018,测试反伤,测试反伤,,,1,1,21003,,,,1021,1022,30000,,,0,,,,-1,1,1,,0,,,,,,,
20019,条件判断添加buff,条件判断添加buff,,,1,1,21004,,,,1021,1022,-1,,,0,1,11201,,-1,1,1,,0,,,,,,,
20020,防御削减,防御削减,,,1,1,12006,,,,1021,1022,-1,,,0,4,,,-1,1,1,,0,,,,,,,
99996,辅助角色 大招 给队友上的buff,,,,1,1,99994|99995|99996,,,,,,50000,,,0,,,,-1,1,1,,0,,,,,,,
99997,辅助角色 技能2 测试buff,,,,2,0,99997,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
99998,辅助角色 技能3 buff逻辑本体,,,,1,1,99998,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
99999,辅助角色 技能3 buff触发器部分,,,,1,1,99999,,,,,,10000,,,0,,,,-1,1,1,,0,,,,,,,
101001,增加暴击率,节制技能2增加暴击率,battle_crt,,1,1,101001,,,,1001,1002,10000,,,0,,,,-1,1,1,,1,,,,29,,,
101002,增加爆伤,节制被动增加暴伤,battle_crt,,1,1,101002,,,,,,10000,,,0,,,,-1,1,1,,1,,,,,,,
101003,封印,节制必杀封印,warning_actionFreeze,,2,1,1001,,,,1011,1012,5000,,,0,,,,-1,1,1,,0,,,,5,,,
101004,吸血,节制被动吸血,,,1,1,101004,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
101005,增加行动点,增加行动点,,,2,1,101005,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
101006,降低防御,节制降低目标防御1级,battle_shield,,2,1,101006,,,,,,20000,,,0,,,,-1,1,1,,0,2,1,2,,,,
101007,降低防御,节制降低目标防御2级,battle_shield,,2,1,101007,,,,,,15000,,,0,,,,-1,1,1,,0,2,2,2,,,,
101008,共鸣B技能2友方队伍 减费 buff,,warning_pointSlow,,1,1,101008,,,,,,-1,,,0,4,,,-1,1,1,,0,,,,38,,,
101009,共鸣B-必杀被动触发器,,,,1,0,101009,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
101010,共鸣B-必杀-记录当前连招数Buff,,,,1,0,101010,,,,,,-1,,,0,4,,,-1,99,1,,0,,,,,,,
101011,共鸣B-必杀-根据连击数回复行动值,,,,1,0,101011,,,,,,0,,,0,,,,-1,1,1,,0,,,,39,,,
101012,共鸣B 大招 友方释放下次必杀提高攻击,,,,1,0,101012,,,,,,-1,,,0,1,11202,,-1,1,1,,0,,,,,,,
101013,共鸣B 大招 触发器-触发加伤害提升效果,,warning_addDamage,,1,0,101013,,,,,,-1,,,0,,,,-1,1,1,,0,,,,52,,,
101014,节制-耗尽-技能2耗尽,,warning_addDamage,,1,0,101014,,,,,,-1,,,0,2|4,11201|21020,,-1,1,1,,0,,,,,,,
101015,节制-耗尽-技能2耗尽添加新对应层数buff,,,,1,0,101015,,,,,,-1,,1,0,1|4,11201|21020,,-1,1,1,,0,,,,,,,
101016,节制-耗尽-技能2额外增伤增能,,warning_addDamage,,1,0,101016|101017,,,,,,-1,,,0,1|4,11201|21020,,-1,12,1,,0,,,,59,,,
101018,节制-耗尽-必杀增伤,,,,1,0,101018,,,,,,-1,,,0,1,11202,,-1,1,1,,0,,,,,,,
101019,节制-耗尽被动  触发器,,,,3,0,101019,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
101020,节制-耗尽-被动增伤,,,,1,0,101020,,,,,,-1,,,0,1,11201,,-1,1,1,,0,,,,66,,,
101021,节制-耗尽-共生buff组,,,,1,0,101021,,,,,,-1,,,0,2|4,11201|21020,,-1,1,1,,0,,,,,,,
101022,节制-耗尽-共生buff组2,,,,1,0,101022,,,,,,-1,,,0,2|4,11201|21020,,-1,1,1,,0,,,,,,,
102001,增加攻击力,太阳技能1增加攻击力,warning_damage,,1,1,102001,,,,1021,1022,20000,,,0,,,,-1,1,1,,1,,,,6,,,
102002,护盾,太阳被动加护盾,battle_shield,,1,1,102002,,,,,,20000,,,0,,,,-1,1,1,,1,,,,,,,
102003,降低防御,降低目标防御,battle_shield,,2,1,102003,,,,,,15000,,,0,,,,-1,10,1,,0,,,,,,,
102004,增加行动点,太阳增加行动点,,,2,1,102004,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
102005,增加技能伤害,太阳技能1增加技能伤害,warning_damage,,1,1,102005,,,,1021,1022,10000,,,0,,,,-1,1,1,,1,,,,6,,,
102006,输出B-必杀-根据连招数提高伤害,输出B-必杀-根据连招数提高伤害,,,1,0,102006,,,,,,-1,,,0,1,11202,,-1,1,1,,1,,,,,,,
102007,输出B-2技能-提升伤害,输出B-2技能-提升伤害,warning_damage,,1,0,102007,,,,1051,1052,-1,,,0,4,,,-1,6,1,,1,,,,40,,,
102008,输出B-必杀被动触发器,输出B-必杀被动触发器,,,1,0,102008,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
102009,输出B-必杀-记录当前连招数Buff,输出B-必杀-记录当前连招数Buff,,,1,0,102009,,,,,,-1,,,0,4,,,-1,99,1,,1,,,,,,,
102010,输出B群体触发器,输出B群体触发器,,,1,0,102010,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
102011,输出B减费技能2,输出B减费技能2,,,1,0,102011,,,,,,-1,,,0,4,,,-1,1,1,,1,,,,,,,
103001,强化技能buff,世界被动强化技能添加buff,,,1,1,103001,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
103002,被动增加攻击力,世界被动增加攻击力,warning_damage,,1,1,103002,,,,1021,1022,45000,,,0,,,,-1,1,1,,1,,,,6,,,
103003,被动持续吸血,世界被动附加吸血,,,1,1,103003,,,,1021,1022,-1,,,0,1,11201,,-1,1,1,,1,,,,30,,,
103004,附加眩晕,世界被动附加眩晕,,,1,1,103004,,,,1021,1022,-1,,,0,1,11201,,-1,1,1,,1,,,,30,,,
103005,眩晕buff,世界被动眩晕buff,warning_actionFreeze,,2,1,1002,,,,,,5000,,,0,,,,-1,1,1,,0,,,,,,,
103006,输出A技能2-持续掉血（触发器）,输出A技能2-持续掉血（触发器）,battle_rend,,2,1,103006,2,,,500001,,30000,,,0,,,,-1,3,1,,1,,,,36,,,
103007,输出A技能2-持续掉血（具体伤害效果）,输出A技能2-持续掉血（具体伤害效果）,,,1,1,103007,,,,,500002,0,,,0,,,,-1,3,1,,0,,,,,,,
103008,输出A技能3增伤,输出A技能3增伤,,,1,0,103008,,,,,,-1,,,0,1,11202,,-1,1,1,,1,,,,54,,,
103009,输出A必杀变身,输出A必杀变身,battle_ninapassive03,,1,0,103009|103010|106015|106016,,,,,,30000,,,0,,,,-1,1,1,,0,,,,,,,
103011,吸血buff节点,吸血buff节点,,,1,1,103011,,,,,,0,,,0,,,,1,1,1,,0,,,,,,,
103012,宇宙被动-监听,宇宙被动-监听,,,3,0,103012,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
103013,被动-强化叠层,世界-宇宙被动增加伤害,battle_ninapassive03,,1,0,103013,,,,1021,1022,-1,,,0,3|4,21020|22001,,-1,5,1,,0,,,,63,,,
103014,世界宇宙-必杀增伤,世界宇宙-必杀增伤,,,1,0,103014,,,,,,-1,,,0,1,11202,,-1,1,1,,1,,,,,,,
104001,辅助角色 技能2测试 驱散（废弃）,,,,1,0,104001,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
104002,辅助角色 技能2降防御（废弃）,降低目标防御,battle_defenceDown,,2,1,104002,,,,,,30000,,,0,,,,-1,1,1,,0,,,,41,,,
104003,辅助角色-技能2-种子本体,,battle_dot,,2,1,104003,2,,,1057,1058,40000,,,0,,,,-1,1,1,,0,,,,36,,,
104004,辅助角色-技能2-触发伤害和治疗,,,,1,1,104004,,,1064,,,0,,,0,,,,-1,1,1,,0,,,,,,,
104005,辅助角色-技能3-治疗效果提升,,battle_healUp,,1,1,104005,,,,1060,1061,40000,,,0,,,,-1,1,1,,0,,,,51,,,
104006,辅助大招-给队友上的buff,,,,1,1,104006|104007,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
105001,柯锡丝技能1buff,本次连招中防御降低,,,2,1,105001,,,,1050010,1050011,-1,,,0,4,,,1,1,1,,0,,,,,,,
105002,柯锡丝技能2buff,提升本次连招中自身和队友技能伤害,,,1,1,105002,,,,1050020,,-1,,,0,4,,,1,1,1,,0,,,,,,,
105003,柯锡丝被动,柯锡丝被动,,,1,0,105003,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
105004,柯锡丝被动层数,柯锡丝被动层数,warning_damage,,1,0,1,,,,,,-1,,,0,,,,-1,3,1,,1,,,,,,,
105005,柯锡丝被动受击时给攻击者加血,柯锡丝被动受击时给攻击者加血,,,1,0,105005,,,,,,-1,,,0,4,21020,,-1,1,1,,1,,,,,,,
105006,柯锡丝被动吸血,柯锡丝被动吸血,battle_bedamageUp,,2,0,105006,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
106000,测试耐鲁被动,测试耐鲁被动,warning_damage,,1,1,106000,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
106001,耐鲁暴击,耐鲁暴击,battle_crt,,1,1,106001,,,,,,-1,,,0,1,11211,,-1,1,1,,0,,,,,,,
106002,共鸣A降低攻击力,共鸣A降低攻击力,warning_reduceDamage,,2,1,106002,,,1056,,,60000,,,0,,,,-1,1,1,,0,,,,42,,,
106003,共鸣A降低防御,共鸣A降低防御,battle_defenceDown,,2,1,106003,,,1056,,,60000,,,0,,,,-1,1,1,,0,,,,41,,,
106004,共鸣A降低造成伤害（废弃）,共鸣A降低造成伤害（废弃）,battle_damageDown,,2,1,106004,,,1056,,,60000,,,0,,,,-1,1,1,,0,,,,43,,,
106005,共鸣A增加受到伤害（废弃）,共鸣A增加受到伤害（废弃）,battle_bedamageUp,,2,1,106005,,,1056,,,60000,,,0,,,,-1,1,1,,0,,,,44,,,
106006,共鸣A持续掉血（废弃）,共鸣A持续掉血（废弃）,battle_blood,,2,1,106006,,,1056,,,60000,,,0,,,,-1,1,1,,0,,,,36,,,
106007,共鸣A持续掉血伤害（废弃）,共鸣A持续掉血伤害（废弃）,,,2,1,106007,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
106008,共鸣A降低治疗,共鸣A降低治疗,battle_healStop,,2,1,106008,,,1056,,,60000,,,0,,,,-1,1,1,,0,,,,45,,,
106009,共鸣A技能2随机增加debuff,共鸣A技能2随机增加debuff,,,2,1,106009,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
106010,共鸣A技能2刷新负面状态（废弃）,共鸣A技能2刷新负面状态（废弃）,,,2,0,106010,,,,,,0,,,0,,,,1,1,1,,0,,,,47,,,
106011,共鸣A技能2下个技能无冷却（废弃）,共鸣A技能2下个技能无冷却（废弃）,,,1,0,106011,,,,,,-1,,,0,3,21021,,1,1,1,,0,,,,,,48,
106012,共鸣A技能3连招内收到伤害提高,本次连招内收到伤害提高,,,2,1,106012,,,,,,-1,,,0,4,,,1,1,1,,0,,,,53,,,
106013,共鸣A必杀随机增加3debuff,共鸣A必杀随机增加3debuff,,,2,1,106013,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
106014,共鸣A必杀变身,共鸣A必杀变身,battle_ninapassive03,,1,0,106014|106015|106016,,,,,,30000,,,0,,,,-1,1,1,,0,,,,,,,
106017,12号-输出（后手|普攻）-耐鲁- 撕裂（触发器）,12号-输出（后手|普攻）-耐鲁- 撕裂（触发器）,battle_dot,,2,1,106017,2,,,500001,,60000,,,0,,,,-1,1,1,,0,,,,36,,,
106018,12号-输出（后手|普攻）-耐鲁- 撕裂（伤害）,12号-输出（后手|普攻）-耐鲁- 撕裂（伤害）,,,1,1,106018,,,,,500002,0,,,0,,,,-1,1,1,,0,,,,,,,
106019,12号-输出（后手|普攻）-耐鲁-技能3（触发器）,12号-输出（后手|普攻）-耐鲁-技能3提高伤害（触发器）,,,1,0,106019,,,,,,-1,,,0,4,21020,,-1,1,1,,0,,,,,,,
106020,12号-输出（后手|普攻）-耐鲁-技能3提高伤害,12号-输出（后手|普攻）-耐鲁-技能3提高伤害,warning_damage,,1,0,106020,,,1021,,,-1,,,0,4,21020,,-1,10,1,,1,,,,59,,,
106021,耐鲁被动触发器,,,,1,1,106021,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
106022,耐鲁被动条件判断,,,,1,0,106022,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
106023,耐鲁被动修改技能消耗,,battle_crt,,1,0,106023|106025,,,,,,-1,,,0,2,32801,,-1,1,1,,0,,,,,,,
106024,12号-输出（后手|普攻）-耐鲁--必杀增伤,12号-输出（后手|普攻）-耐鲁--必杀增伤,,,1,0,106024,,,,,,-1,,,0,1,11202,,-1,1,1,,1,,,,,,,
109001,柯锡丝-回能-技能2-减甲,柯锡丝-回能-技能2-减甲,battle_defenceDown,,2,1,109001,,,1050010,,1050011,-1,,,0,6|4,21024|21020,,-1,1,1,,0,,,,41,,,
109002,柯锡丝-回能-技能3-行动值满,柯锡丝-回能-技能3-行动值满,,,2,0,109002,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
109003,柯锡丝-回能-技能3-行动值消耗整加,柯锡丝-回能-技能3-行动值消耗整加,,,3,0,109003,,,,,,-1,,,0,3|4,21025|21020,,-1,1,1,,0,,,,,,,
109004,柯锡丝-回能-技能3-行动值清空触发器,柯锡丝-回能-技能3-行动值清空触发器,,,3,0,109004,,,,,,-1,,,0,3|4,21025|21020,,-1,1,1,,0,,,,,,,
109005,柯锡丝-回能-技能3-行动值清空,柯锡丝-回能-技能3-行动值满,,,3,0,109005,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
109007,柯锡丝-回能-被动-触发器,柯锡丝-回能-被动-触发器,,,3,0,109007|109008,,,,,,-1,,,0,3|4,21025,,-1,1,1,,0,,,,,,,
109009,柯锡丝-回能-被动-回能触发器,柯锡丝-回能-被动-回能触发器,,,3,0,109009,,,,,,-1,,,0,3|4,21025,,-1,1,1,,0,,,,,,,
109010,柯锡丝-回能-被动-回能,柯锡丝-回能-被动-回能,,,3,0,109010,,,1002,,,0,,,0,,,,-1,1,1,,0,,,,64,,,
109011,柯锡丝-回能-大招-恢复技能消耗,柯锡丝-回能-大招-恢复技能消耗,,,3,0,109011|109012,,,,,,-1,,3,1,1,11202,,-1,1,1,,0,,,,,,,
111001,11号-共鸣（先手|频率）-星星--主动技能2-减少CD,11号-共鸣（先手|频率）-星星--主动技能2-减少CD,,,1,0,111001,,,,,,0,,,0,,,,-1,1,1,,0,,,,58,,,
111002,11号-共鸣（先手|频率）-星星--主动技能3-减少下个技能消耗,11号-共鸣（先手|频率）-星星--主动技能3-减少下个技能消耗,warning_pointSlow,,1,0,111002,,,,,,-1,,,0,2|4,21023|21020,,-1,1,1,,0,,,,38,,,
111003,11号-共鸣（先手|频率）-星星--被动-增伤触发器,11号-共鸣（先手|频率）-星星--被动-增伤触发器,,,1,0,111003,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
111004,11号-共鸣（先手|频率）-星星--被动-增伤,11号-共鸣（先手|频率）-星星--被动-增伤,warning_addDamage,,1,0,111004,,,1021,,,-1,,,0,4,,,-1,99,1,,0,,,,59,,,
111005,11号-共鸣（先手|频率）-星星--必杀-减耗,11号-共鸣（先手|频率）-星星--必杀-减耗,,,1,0,111005,,,,,,-1,,,0,2,21022,,-1,1,1,,0,,,,60,,,
112001,10号-共鸣（先手|克制）-太阳--主动技能1-触发器,10号-共鸣（先手|克制）-太阳--主动技能1-触发器,,,1,0,112001,,,,,,-1,,,0,4,,,-1,1,1,,0,,,,,,,
112002,10号-共鸣（先手|克制）-太阳--主动技能1-伤害提升,10号-共鸣（先手|克制）-太阳--主动技能1-伤害提升,,,1,0,112002,,,,,,-1,,,0,1,,,-1,1,1,,0,,,,,,,
112003,10号-共鸣（先手|克制）-太阳--主动技能2-改变下个技能属性,10号-共鸣（先手|克制）-太阳--主动技能2-改变下个技能属性,,,1,0,112003,,,,,,-1,,,0,3|4,21020|21021,,-1,1,1,,0,,,,61,,,
112004,10号-共鸣（先手|克制）-太阳--必杀-标记,10号-共鸣（先手|克制）-太阳--必杀-标记,battle_mark,,2,0,112004,,,1070,,1071,-1,,,0,,,,-1,1,1,,0,,,,,,,
112005,10号-共鸣（先手|克制）-太阳--必杀-触发标记,10号-共鸣（先手|克制）-太阳--必杀-触发标记,,,2,0,112005,,,1055,,,0,,,0,,,,-1,1,1,,0,,,,,,,
112006,10号-共鸣（先手|克制）-太阳--被动-克制时充能触发器,10号-共鸣（先手|克制）-太阳--被动-克制时充能触发器,,,1,0,112006,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
112007,10号-共鸣（先手|克制）-太阳--被动-被动触发充能,10号-共鸣（先手|克制）-太阳--被动-被动触发充能,,,1,0,112007,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
131001,输出9.1（攻击溅射）-节制-技能3-无视一定防御,技能3-无视一定防御,,,3,0,131001,,,,,,-1,,,0,1,,,-1,1,1,,0,,,,,,,
131002,输出9.1（攻击溅射）-节制-必杀-提升伤害&技能冷却降低,必杀-提升伤害&技能冷却降低,battle_hance,,1,0,131002|131005,,,,,,30000,,,0,,,,-1,1,1,,0,,,,68,,,
131003,输出9.1（攻击溅射）-节制-被动,被动buff,,,3,0,131003,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
131004,输出9.1（攻击溅射）-节制-溅射效果-触发器,溅射-触发器,battle_split,,1,0,131004,,,,,,-1,,,0,1|4,11201|21020,,-1,1,1,,0,,,,69,,,
131006,输出9.1（攻击溅射）-节制-溅射效果,溅射-主体buff,battle_split,,3,0,131006,,,,,,-1,,,0,1,,,-1,1,1,,0,,,,69,,,
133001,5号-输出（后手|必杀）-太阳-被动,被动buff,,,3,0,133001,,,,,,-1,,,0,,,,-1,1,1,,0,,,,,,,
134001,4号-共鸣（先手|暗伤）-世界-技能3-额外3层暗伤,暗伤-主体buff,,,3,0,134001,,,1066,,,-1,,,0,,,,-1,1,1,,0,,,,70,,,
134002,4号-共鸣（先手|暗伤）-世界-被动,被动buff,,,3,0,134002,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
134003,4号-共鸣（先手|暗伤）-世界-暗伤效果,暗伤-主体buff,battle_anshang,,2,0,134003,,,,134003,,-1,,,0,,,,-1,8,1,,0,,,,70,,,
134004,4号-共鸣（先手|暗伤）-世界-暗伤-伤害,暗伤-伤害效果,,,3,0,134004,,,,134004,,0,,,0,,,,-1,1,1,,0,,,,,,,
134005,4号-共鸣（先手|暗伤）-世界-暗伤-充能,暗伤-充能效果,,,3,0,134005,,,1072,,,0,,,0,,,,-1,1,1,,0,,,,,,,
134006,4号-共鸣（先手|暗伤）-世界-暗伤-消层,暗伤-消层效果,,,3,0,134006,,,,,,0,,,0,,,,-1,1,1,,0,,,,,,,
136001,3号-输出（后手|冷却）-柯锡-技能2-提升攻击,技能2-提升攻击,warning_addDamage,,1,0,136001,,,,,,30000,,,0,,,,-1,1,1,,0,,,,71,,,
136002,3号-输出（后手|冷却）-柯锡-技能3-提升伤害,技能3-提升伤害,,,3,0,136002,,,,,,-1,,,0,1,,,-1,1,1,,0,,,,,,,
136003,3号-输出（后手|冷却）-柯锡-被动,被动buff,,,3,0,136003,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
136004,3号-输出（后手|冷却）-柯锡-强化效果（下个技能无冷却）,强化-主体buff（下个技能无冷却）,battle_reducedcd,,1,0,136004,,,,136004,,-1,,,0,1,11201,,-1,1,1,,0,,,,73,,,
137001,2号-共鸣（先手|减耗）-耐鲁-技能2-减少费用,技能2-减少费用,,,3,0,137001,,,1066,,,-1,137001,,0,2|4,11201|21020,,-1,1,1,,0,,,,,,38,
137002,2号-共鸣（先手|减耗）-耐鲁-技能3-提高主动技能伤害,技能3-提高主动技能伤害,warning_pointFast,,3,0,137002,,,,,,-1,137002,,0,2|4,11201|21020,,-1,1,1,,0,,,,,,,
137003,2号-共鸣（先手|减耗）-耐鲁-必杀-提升受到主动技能伤害,必杀-提升受到主动技能伤害,battle_bedamageUp,,2,0,137003,,,1056,,,-1,,2,0,4,21020,,-1,1,1,,0,,,,53,,,
137004,2号-共鸣（先手|减耗）-耐鲁-被动,被动buff,,,3,0,137004,,,,,,-1,,,0,,,,-1,1,1,,1,,,,,,,
137005,2号-共鸣（先手|减耗）-耐鲁-强化效果（下个技能无消耗）,强化-主体buff（下个技能无消耗）,battle_skillexpend,,1,0,137005,,,,,,-1,,,0,2,11201,,-1,1,1,,0,,,,74,,,
137007,2号-共鸣（先手|减耗）-耐鲁-技能3-删除伤害提升,技能3-删除提升伤害,,,3,0,137007,,,,,,-1,,,0,1|4,11201|21020,,-1,1,1,,0,,,,,,,
137008,2号-共鸣（先手|减耗）-耐鲁-技能3-伤害提升,技能3-提升伤害,,,3,0,137008,,,,,,-1,,,0,1,,,-1,1,1,,0,,,,,,,
132001,21号-输出（后手|暴击）-节制-技能2-提升暴击,技能2-提升暴击,battle_crt,,1,0,132001,,,1001,,,-1,,1,0,1,,,-1,1,1,,0,,,,72,,,
132002,21号-输出（后手|暴击）-节制-技能3-根据队伍消耗提升爆伤,技能3-根据队伍消耗提升爆伤,,,3,0,132002,,,,,,-1,,,0,1,,,-1,1,1,,0,,,,,,,
