//this config file was auto-generated by Excel2lua tool do not modify it!
ID,LogicDec,LogicNode,LogicParam1,LogicParam2,LogicParam3,LogicParam4,LogicParam5,LogicParam6,LogicParam7,LogicParam8
104004,辅助角色-技能2-触发伤害和治疗,45,1,1,0.5,0.8,2,1061,,
104005,辅助角色-技能3-治疗效果提升,4,BeRecoveredImprove,1,0.3,,,,,
104006,辅助角色-大招-治疗,1,2,1,FALSE,1,ATK,1.2,,
104007,辅助角色-大招-驱散,46,2,1,,,,,,
105001,柯锡丝降低防御30%,4,RDM,2,-0.3,,,,,
105002,柯锡丝增加技能伤害,4,ATK,2,2,,,,,
105003,柯锡丝被动,33,2,105004,3,2,105005,,,
105005,柯锡丝下次攻击给队友加吸血buff,42,105006,5,2,-1,1,,,
105006,柯锡丝被动：吸血,1,3,1,FALSE,1,,,,
106000,测试耐鲁被动,33,3,1,20,,,,,
106001,耐鲁增加百分百暴击率,4,CRT,2,1,,,,,
106002,6号-共鸣（先手|负面）-耐鲁-降低攻击力,4,ATK,2,-0.1,,,,,
106003,6号-共鸣（先手|负面）-耐鲁-降低防御,4,RDM,2,-0.1,,,,,
106004,共鸣A降低造成伤害（废弃）,4,DamageWeaken,2,0.1,,,,,
106005,共鸣A增加受到伤害（废弃）,4,DamageDeepenPercentage,2,0.1,,,,,
106006,共鸣A持续掉血（废弃）,42,106007,1,1,0,3000,5,,
106007,共鸣A持续掉血伤害（废弃）,1,2,1,FALSE,0.1,ATK,-0.5,,
106008,6号-共鸣（先手|负面）-耐鲁-降低治疗,4,BeRecoveredReduce,1,0.1,,,,,
106009,6号-共鸣（先手|负面）-耐鲁-技能2随机增加debuff,47,106002;106003;106008,1,FALSE,,,,,
106010,共鸣A技能2刷新负面状态（废弃）,48,2,,,,,,,
106011,6号-共鸣（先手|负面）-耐鲁-技能2下个技能无冷却（废弃）,14,2,1,,,,,,
106012,6号-共鸣（先手|负面）-耐鲁-技能3连招内收到伤害提高,4,DamageDeepenPercentage,1,0,2,2,0.5,2.5,
106013,6号-共鸣（先手|负面）-耐鲁-必杀随机增加3debuff,47,106002;106003;106008,3,TRUE,,,,,
106014,共鸣A必杀变身,49,BattleSub,120107,,,,,,
106015,共鸣A必杀-技能2减费,13,2,2,2,2,,,,
106016,共鸣A必杀-技能3减费,13,2,2,2,3,,,,
106017,12号-输出（后手|普攻）-耐鲁- 撕裂（触发器）,42,106018,1,2,-1,2,1,,
106018,12号-输出（后手|普攻）-耐鲁- 撕裂（伤害）,1,2,1,FALSE,1,ATK,-0.5,,
106019,12号-输出（后手|普攻）-耐鲁-技能3提高伤害（触发器）,42,106020,1,5,1,-1,-1,,
106020,12号-输出（后手|普攻）-耐鲁-技能3提高伤害,4,DamageEnhance,1,0.05,,,,,
106021,12号-输出（后手|普攻）-被动-触发器,42,106022,1,5,4,-1,1|2,,
106022,12号-输出（后手|普攻）-被动条件判断,37,10100,106023,,,,,,
106023,12号-输出（后手|普攻）-被动修改普攻技能消耗,13,2,3,12800101,0,,,,
106024,12号-输出（后手|普攻）-必杀按连招增伤,4,ATK,2,0,4,-1,1,5,
106025,12号-输出（后手|普攻）-被动修改普攻技能冷却,51,1,2,1,2,1,,,
109001,柯锡丝-回能-技能2-减甲,4,RDM,2,-0.3,,,,,
109002,柯锡丝-回能-技能3-行动值满,6,1,1,99,,,,,
109003,柯锡丝-回能-技能3-行动值消耗整加,13,1,1,-1,2,0,99,,
109004,柯锡丝-回能-技能3-行动值清空触发器,42,109005,1,11,,,,,
109005,柯锡丝-回能-技能3-行动值清空,6,1,1,-99,,,,,
109007,柯锡丝-回能-被动 触发器,42,109009,6,9,3,1,,,
109008,柯锡丝-回能-被动 重置 触发器,42,109007,1,11,,,,,
109009,柯锡丝-回能-被动 释放技能 额外回能触发器,42,109010,1,5,1,-1,-1,1,
109010,柯锡丝-回能-被动 释放技能 额外回能,20,2,50,,,,,,
109011,柯锡丝大招 下个必杀返还30%消耗,10,2,1,0.3,,,,,
109012,柯锡丝大招 下个必杀返还30%CD,51,2,1,2,2,0.3,,,
111001,11号-共鸣（先手|频率）-星星--主动技能2-减少CD,51,1,2,1;3,2,0.5,,,
111002,11号-共鸣（先手|频率）-星星--主动技能3-减少下个技能消耗,13,1,1,-1,-1,0,999,,
111003,11号-共鸣（先手|频率）-星星--被动-增伤触发器,42,111004,3,5,1,-1,-1,1|2,
111004,11号-共鸣（先手|频率）-星星--被动-增伤,4,DamageEnhance,1,0.05,,,,,
111005,11号-共鸣（先手|频率）-星星--必杀-减耗,13,2,1,-1,1,,,,
112001,10号-共鸣（先手|克制）-太阳--主动技能1-触发器,42,112002,5,5,2,1,-1,1|2,1
112002,10号-共鸣（先手|克制）-太阳--主动技能1-伤害提升,4,DamageEnhance,1,1,,,,,
112003,10号-共鸣（先手|克制）-太阳--主动技能2-改变下个技能属性,35,1,,,,,,,
112004,10号-共鸣（先手|克制）-太阳--必杀-标记触发器,42,112005,1,2,1,3,1,,
112005,10号-共鸣（先手|克制）-太阳--必杀-触发标记,1,2,1,FALSE,1,ATK,-2,,
112006,10号-共鸣（先手|克制）-太阳--被动-克制时充能触发器,42,112007,7,5,4,-1,-1,1|2,1
112007,10号-共鸣（先手|克制）-太阳--被动-被动触发充能,20,2,50,,,,,,
131001,输出9.1（攻击溅射）-节制-技能2-无视一定防御,21000301,IngoreRom,1,0.5,,,,,
131002,输出9.1（攻击溅射）-节制-必杀-提升伤害,21000301,DamageEnhance,1,0.5,,,,,
131003,输出9.1（攻击溅射）-节制-被动,21000106,131004,1,,,,,,
131004,输出9.1（攻击溅射）-节制-溅射效果-触发器,21000108,131006,2,,,,,,
131005,输出9.1（攻击溅射）-节制-必杀-技能冷却降低,21001101,5000,,,,,,,
131006,输出9.1（攻击溅射）-节制-溅射效果,21001201,5000,131004,,,,,,
133001,5号-输出（后手|必杀）-太阳-被动,21000501,1000,2000,7000,,,,,
134001,4号-共鸣（先手|暗伤）-世界-技能3-额外3层暗伤,21001601,134003,3,,,,,,
134002,4号-共鸣（先手|暗伤）-世界-被动,21000101,134003,9,,,,,,
134003,4号-共鸣（先手|暗伤）-世界-暗伤效果,21000102,134004;134005;134006,1;5;1,,,,,,
134004,4号-共鸣（先手|暗伤）-世界-暗伤-伤害,21000202,ATK,2,-3000,,,,,
134005,4号-共鸣（先手|暗伤）-世界-暗伤-充能,21001501,2,,,,,,,
134006,4号-共鸣（先手|暗伤）-世界-暗伤-消层,21001001,134003,1,,,,,,
136001,3号-输出（后手|冷却）-柯锡-技能2-提升攻击,21000301,ATK,2,5000,,,,,
136002,3号-输出（后手|冷却）-柯锡-技能3-提升伤害,21000301,DamageEnhance,1,0.5,,,,,
136003,3号-输出（后手|冷却）-柯锡-被动,21000103,136004,1,1,3,,,,
136004,3号-输出（后手|冷却）-柯锡-强化效果（下个技能无冷却）,21001101,10000,,,,,,,
137001,2号-共鸣（先手|减耗）-耐鲁-技能2-减少费用,21001702,-1,0,999,,,,,
137002,2号-共鸣（先手|减耗）-耐鲁-技能3-提高主动技能伤害-触发器,21000108,137008,2,,,,,,
137003,2号-共鸣（先手|减耗）-耐鲁-必杀-提升受到主动技能伤害,21000303,DamageDeepenPercentage,1,0.5,2,,,,
137004,2号-共鸣（先手|减耗）-耐鲁-被动,21000104,137005,3,,,,,,
137005,2号-共鸣（先手|减耗）-耐鲁-强化效果（下个技能无消耗）,21001704,,,,,,,,
137006,2号-共鸣（先手|减耗）-耐鲁-技能3-删除全体提升伤害效果触发器,21000111,137007,2,3,,,,,
137007,2号-共鸣（先手|减耗）-耐鲁-技能3-删除友方提升伤害,21001001,137002,1,,,,,,
137008,2号-共鸣（先手|减耗）-耐鲁-技能3-提高主动技能伤害,21000301,DamageEnhance,1,0.5,,,,,
132001,21号-输出（后手|暴击）-节制-技能2-提升暴击,21000301,CRT,1,0.5,,,,,
132002,21号-输出（后手|暴击）-节制-技能3-根据队伍消耗提升爆伤,21000304,CRTD,2000,,,,,,
132003,21号-输出（后手|暴击）-节制-必杀-消耗行动值提升暴击率,21000304,CRT,500,,,,,,
132004,21号-输出（后手|暴击）-节制-必杀-溢出的暴击率转爆伤,21000302,CRT,1,CRTD,10000,,,,
132005,21号-输出（后手|暴击）-节制-被动-爆伤提升,21000301,CRTD,1,0.3,,,,,
132006,21号-输出（后手|暴击）-节制-被动-暴击吸血,21000402,5000,,,,,,,
135001,22号-输出（后手|生命）-世界-技能2-回复生命,21000202,MaxHP,1,2000,,,,,
135002,22号-输出（后手|生命）-世界-技能3-提升伤害,21000301,DamageEnhance,1,0.5,,,,,
135003,22号-输出（后手|生命）-世界-必杀-自身,21000601,CurHP,1000,,,,,,
135004,22号-输出（后手|生命）-世界-必杀-其他友方,21000601,CurHP,2000,,,,,,
135005,22号-输出（后手|生命）-世界-被动,21000601,CurHP,1000,,,,,,
139001,1号-输出（后手|反击）-太阳-技能1-防御偷取（敌方）,21001301,RDM,1000,1,2000,,,,
139002,1号-输出（后手|反击）-太阳-技能1-防御偷取（自身）,21001301,RDM,1000,1,2000,,,,
139003,1号-输出（后手|反击）-太阳-技能2-嘲讽,21001401,,,,,,,,
139004,1号-输出（后手|反击）-太阳-技能3-根据复仇层数提升伤害,21000306,ATK,139008,1,1,3000,,,
139005,1号-输出（后手|反击）-太阳-被动-触发复仇（行动后）,21000108,139008,1,,,,,,
139006,1号-输出（后手|反击）-太阳-被动-触发复仇（受到攻击时）,21000110,139008,,,,,,,
139007,1号-输出（后手|反击）-太阳-被动-触发复仇（防御转化攻击）,21000302,RDM,0,ATK,5000,,,,
139008,1号-输出（后手|反击）-太阳-复仇效果,21000301,RDM,2,500,,,,,
142101,CE-输出（后手|追击）-世界-被动必杀返能量,21000501,1000,2000,7000,,,,,
141101,CE-共鸣（先手|减耗）-太阳-减少下个技能消耗,21001702,-2,0,99,,,,,
141102,CE-共鸣（先手|减耗）-太阳-被动减防御触发器,21000101,141103,9,,,,,,
141103,CE-共鸣（先手|减耗）-太阳-被动,21000107,141104,,,,,,,
141104,CE-共鸣（先手|减耗）-太阳-被动减防御,21000301,RDM,2,-100,,,,,
141105,CE-共鸣（先手|减耗）-太阳-3技能法阵伤害触发器,21000107,141106,1,,,,,,
141106,CE-共鸣（先手|减耗）-太阳-3技能法阵伤害,21000202,ATK,2,-3000,,,,,
143101,CE-辅助-星星-减防御,21000301,RDM,2,-2000,,,,,
143102,CE-辅助-星星-减攻击,21000301,ATK,2,-2000,,,,,
143103,CE-辅助-星星-寄生种子本体,42,143104,1,1,0,4000,10,,
143104,CE-辅助-星星-寄生种子,21000205,1,1,0.5,0.8,2,1076,,
143105,CE-辅助-星星被动-提高治疗效果,21000301,RecoverImprove,1,0.2,,,,,
143106,CE-辅助-星星-必杀-治疗,1,2,1,FALSE,1,ATK,1.2,,
143107,CE-辅助-星星-必杀-驱散,46,2,1,,,,,,
140101,CE-输出（后手|溅射）-节制-爆伤提升,21000301,CRTD,1,0.3,,,,,
140102,CE-输出（后手|溅射）-节制-额外伤害,21000202,ATK,2,-5000,,,,,
140103,CE-输出（后手|溅射）-节制-溅射触发器,21000106,140104,1,,,,,,
140104,CE-输出（后手|溅射）-节制-溅射,21001201,7000,131004,,,,,,
140105,CE-输出（后手|溅射）-节制-必杀-伤害提高,21000301,DamageEnhance,1,2,,,,,
140106,CE-输出（后手|溅射）-节制-必杀-冷却降低,21001101,8000,,,,,,,
140107,CE-输出（后手|溅射）-节制-必杀-暴击提高,21000301,CRT,1,0.5,,,,,
140109,CE-输出（后手|溅射）-节制-必杀-暴击提高触发器,21000108,140110,1,,,,,,
140110,CE-输出（后手|溅射）-节制-必杀-暴击提高条件判断,21000801,1401304,140107,,,,,,
144101,CE-共鸣（先手|增伤）-耐鲁-连招后续技能暴击伤害提升,21000301,CRTD,1,0.3,,,,,
144102,CE-共鸣（先手|增伤）-耐鲁-连招下一个技能伤害提升-触发器,21000108,144103,1,,,,,,
144103,CE-共鸣（先手|增伤）-耐鲁-连招下一个技能伤害提升-提高技能伤害,21000301,DamageEnhance,1,0.2,,,,,
144104,CE-共鸣（先手|增伤）-耐鲁-被动连招前4技能伤害提高,42,144105,3,5,1,-1,1,1|2,
144105,CE-共鸣（先手|增伤）-耐鲁-被动-提升伤害触发器（限4次）,21000108,144106,1,,,,,,
144106,CE-共鸣（先手|增伤）-耐鲁-被动-提升伤害,21000301,DamageEnhance,1,0.2,,,,,
145001,14号-输出（后手|注能）-太阳-技能2-暴击提升,21000301,CRT,1,0.5,,,,,
145002,14号-输出（后手|注能）-太阳-被动-其他友方施放技能时触发,21000112,145003,0,1,-1,,,,
145003,14号-输出（后手|注能）-太阳-被动-提升攻击力,21000301,ATK,2,5000,,,,,
145004,14号-输出（后手|注能）-太阳-必杀-暴击时触发,21000113,145005,1,,,,,,
145005,14号-输出（后手|注能）-太阳-必杀-增加能量,21001501,20,,,,,,,
146001,15号-输出（后手|刺痕）-节制-刺痕,21000203,ATK,2,-3000,146002,5000,,,
146002,15号-输出（后手|刺痕）-节制-技能2-刺痕标记,21001901,,,,,,,,
146003,15号-输出（后手|刺痕）-节制-被动,21000116,146001,2,1,1,,,,
146004,15号-输出（后手|刺痕）-节制-必杀,21000115,146001,,,,,,,
147001,16号-输出（后手|齐心）-世界-被动,21000112,147002,0,1,1,,,,
147002,16号-输出（后手|齐心）-世界-被动-实际伤害提升效果,21000301,DamageEnhance,1,0.5,,,,,
148001,17号-共鸣（先手|传递）-耐鲁-被动-能量传递,21000114,148002,148003,14810102,1,,,,
148002,17号-共鸣（先手|传递）-耐鲁-被动-提升攻击力,21000301,ATK,2,1200,,,,,
148003,17号-共鸣（先手|传递）-耐鲁-技能3-传递时减耗,21001703,14810103,-1,,,,,,
148004,17号-共鸣（先手|传递）-耐鲁-必杀-叠加两层能量传递,21000802,148004,148001,2,,,,,
148005,17号-共鸣（先手|传递）-耐鲁-被动-战斗开始触发器,21000123,148001,,,,,,,
149001,18号-共鸣（先手|递增）-柯锡-共生,21001801,2,149002,,,,,,
149002,18号-共鸣（先手|递增）-柯锡-额外消耗,21001701,2,,,,,,,
149003,18号-共鸣（先手|递增）-柯锡-根据额外消耗创建Buff,21001602,149003,,,,,,,
149004,18号-共鸣（先手|递增）-柯锡-改属性,21000301,DamageEnhance,1,0.2,,,,,
149005,18号-共鸣（先手|递增）-柯锡-下个主动技能0耗,21001704,,,,,,,,
149006,18号-共鸣（先手|递增）-柯锡-触发器（连招中消耗递增时）,21000117,149006,3,,,,,,
149007,18号-共鸣（先手|递增）-柯锡-被动改属性,21000301,DamageEnhance,1,0.3,,,,,
150001,19号-共鸣（先手|终结）-太阳-技能2-减少冷却,21001103,10000,,,,,,,
150002,19号-共鸣（先手|终结）-太阳-技能3-提升友方攻击力触发器（本次连招内）,21000108,150003,1,,,,,,
150003,19号-共鸣（先手|终结）-太阳-技能3-提升攻击力,21000301,ATK,2,5000,,,,,
150004,19号-共鸣（先手|终结）-太阳-被动触发器,21000120,150005,2,,,,,,
150005,19号-共鸣（先手|终结）-太阳-被动触发-给其他友方加触发器,21000108,150006;150007,1,,,,,,
150006,19号-共鸣（先手|终结）-太阳-终结连招,21002201,,,,,,,,
150007,19号-共鸣（先手|终结）-太阳-提升伤害,21000301,DamageEnhance,1,0.5,,,,,
150008,19号-共鸣（先手|终结）-太阳-必杀-提升友方下个必杀伤害,21000303,DamageEnhance,1,0.5,3,,,,
151001,20号-共鸣（先手|节奏）-节制-技能2-减CD,21001102,15110102,,,,,,,
151002,20号-共鸣（先手|节奏）-节制-技能2-减消耗,21001703,15110102,-1,,,,,,
151003,20号-共鸣（先手|节奏）-节制-技能3-根据技能数加Buff,21001603,151004,1,TRUE,,,,,
151004,20号-共鸣（先手|节奏）-节制-技能3-伤害提升,21000301,DamageEnhance,1,0.2,,,,,
151005,20号-共鸣（先手|节奏）-节制-被动-触发器,21000108,151006,1,,,,,,
151006,20号-共鸣（先手|节奏）-节制-被动-根据层数加Buff,21001603,151007,5,FALSE,,,,,
151007,20号-共鸣（先手|节奏）-节制-被动-给下一个行动的加Buff（继承此buff层数）,21001604,151008,FALSE,,,,,,
151008,20号-共鸣（先手|节奏）-节制-被动-加伤害,21000301,DamageEnhance,1,0.2,,,,,
152001,本次连招受击时触发,21000107,152002,,,,,,,
152002,受击时减少1s蓄力时间,21002102,1000,,,,,,,
152003,上标记的怪物蓄力时间暂停,21002101,-10000,,,,,,,
152004,显示蓄力时间,21002104,,,,,,,,
152005,重置蓄力状态为蓄力准备，时间重置为0,21002103,,,,,,,,
152006,万分比增加/降低蓄力时长,21002101,-10000,,,,,,,
152007,被动添加5层光环,21001601,152013,5,,,,,,
152008,为其他友方添加5层光环,21001601,152014,5,,,,,,
152009,受击时触发,21000126,152011;152012,1;6,,,,,,
152010,添加新buff时，并检查新buff是否为指定buff组（id），如果是则触发光环主体和客体,21000125,152013;152014,1;6,152002;152005,,,,,
152011,受击时移除光环,21001001,152013,1,,,,,,
152012,受击时移除光环客体,21001001,152014,1,,,,,,
152013,光环,21000301,DamageEnhance,2,2000,,,,,
152014,光环客体,21000301,DamageEnhance,2,2000,,,,,
152015,必杀添加光环主题,21001601,152013,3,,,,,,
152016,必杀添加光环客体,21001601,152014,3,,,,,,
153001,小精灵控制器,22000101,153002,10000,3,,,,,
153002,小精灵,22000102,153004,153003,153004,,,,,
153003,改变敌人承伤,21000301,DamageDeepenPercentage,1,0.5,,,,,
153004,增加协同打击,21002901,5000,5000,141109,,,,,
153005,固定值盾,21000902,30000,,,,,,,
153006,攻击力提升,21000301,ATKPercentage,2,5000,,,,,
153007,减CD,21001101,5000,,,,,,,
201001,谎言技能1增加攻击力,4,ATK,2,0.1,,,,,
201006,怪物A被动触发器,42,201007,1,7,4,,,,
201007,怪物A被动减伤,4,RDM,1,10000,,,,,
201008,增加伤害100%,4,DamageEnhance,1,1,,,,,
202001,怪物B技能1持续回血触发器,42,202002,1,1,0,3000,5,,
202002,怪物B技能1持续回血,4,ATK,1,0,,,,,
202003,怪物B技能2护盾,8,3,6,202004,fx_p_12000601_passiveskill_02_heal,,,,
202004,怪物B技能2护盾被击破后伤害加深,4,DamageDeepenPercentage,1,2,,,,,
202005,怪物B被动，行动后驱散一个负面状态触发器,42,202006,1,3,,,,,
202006,怪物B被动，行动后驱散一个负面状态,46,2,1,,,,,,
202007,怪物B霸体,38,3,,,,,,,
202008,greed-反伤怪技能2护盾,8,1,10000,fx_p_110031001_rend_hit,,,,,
202009,greed-反伤怪技能2反伤,56,2,1,,,,,,
203001,angry标记,16,1070,,,,,,,
203002,angry清除标记,46,3,203001,,,,,,
203003,angry偷取ap,55,6,,,,,,,
203004,angry增加ap消耗,13,1,1,-1,1,0,99,,
204001,100%暴击,4,CRT,1,1,,,,,
204002,降低防御,21000301	,RDM,2,-5000,,,,,
204003,封锁行动上限,21000703,6,,,,,,,
205001,测试伤害加深Debuff,4,DamageDeepenPercentage,2,1,,,,,
206000,怪物（重复技能减伤）被动,42,206001,1,10,22001,FALSE,,,
206001,怪物（重复技能减伤）被动-减伤Buff,4,DamageEnhance,1,0.5,,,,,
207000,怪物（起手增伤，非起手减伤）被动-起手角色伤害提高-触发器,42,207002,5,5,3,-1,1,1|2,
207001,怪物（起手增伤，非起手减伤）被动-非起手角色伤害降低-触发器,42,207003,5,5,3,-1,1,1|2,
207002,怪物（起手增伤，非起手减伤）被动-角色伤害提高,4,DamageEnhance,1,0.5,,,,,
207003,怪物（起手增伤，非起手减伤）被动-给其他队友加buff,42,207004,6,1,0,0,1,,
207004,怪物（起手增伤，非起手减伤）被动-角色伤害降低,4,DamageWeaken,1,0.5,,,,,
208001,lie-耗能怪技能2降低伤害,4,DamageWeaken,1,0.5,,,,,
208002,lie-耗能怪技能2 行动值消耗层数图标,53,12,,,,,,,
210001,验证怪物-减行动上限,21000703,4,,,,,,,
211001,验证怪物-次数盾,21000901,10,10000,,,,,,
211002,验证怪物-次数盾-消失触发器,21000105,211003,,,,,,,
211003,验证怪物-次数盾-被击破后伤害加深,21000301,DamageDeepenPercentage,1,1,,,,,
212001,验证怪物-固定减伤,21000301,DamageReductionValue,1,500,,,,,
213001,验证怪物-固定减能,21000301,EnergyReduce,1,100,,,,,
214001,验证怪物-受击攒buff1-触发器,21000107,214002,,,,,,,
214002,验证怪物-受击攒buff1-提高伤害buff,21000301,DamageEnhance,1,0.1,,,,,
215001,验证怪物-受击攒buff2-触发器,21000107,215002,,,,,,,
216001,死亡时给最后打的加buff,21000122,216002,2,2,,,,,
216002,亡语伤害,21000201,-50000,1,FALSE,,,,,
281001,区域1（锁行动上限）-lie-技能2-锁行动,21000703,6,,,,,,,
281101,区域2（群体DOT）-lie-技能1-DOT触发器,42,281102,1,1,0,2000,30,,
281102,区域2（群体DOT）-lie-技能1-伤害效果,1,2,1,FALSE,1,ATK,-0.025,,
281201,complain-腐化,54,281202,1,1,,,,,
